iter	RMSE
0	0.4845343515
1	0.4827276783
2	0.4781061206
3	0.4735129211
4	0.4687861799
5	0.4644421765
6	0.4623451738
7	0.4595624654
8	0.4567941673
9	0.4543663818
10	0.4517901179
11	0.4500018201
12	0.4478374727
13	0.4476464105
14	0.4454138594
15	0.4433375355
16	0.4432304038
17	0.4430525625
18	0.441111628
19	0.4398016483
20	0.4379641455
21	0.4360446109
22	0.4344132696
23	0.4334245542
24	0.4322652715
25	0.4314006466
26	0.4301014516
27	0.4283799051
28	0.4274196167
29	0.4269354315
30	0.4256107991
31	0.4245726798
32	0.4233583773
33	0.4232960044
34	0.4225457854
35	0.4210448746
36	0.4202452609
37	0.4188906389
38	0.4184140909
39	0.4183266724
40	0.4169186871
41	0.4169035311
42	0.4160093678
43	0.4159476863
44	0.4149284138
45	0.4144378636
46	0.4133961528
47	0.4129498625
48	0.4123944494
49	0.4114683726
50	0.4104507262
51	0.4097519938
52	0.4093593907
53	0.4076015075
54	0.4065928315
55	0.405414095
56	0.4048351919
57	0.4041462921
58	0.403426078
59	0.4025929188
60	0.4025894396
61	0.4019814434
62	0.4017036672
63	0.4016587279
64	0.4012454035
65	0.400578708
66	0.3998914722
67	0.3987977741
68	0.397556475
69	0.3967332975
70	0.3961991697
71	0.3955821345
72	0.3955558381
73	0.3943570028
74	0.3934786697
75	0.3925202945
76	0.3915375065
77	0.3907545248
78	0.3899565106
79	0.3897595954
80	0.3889251585
81	0.3883202049
82	0.3874222603
83	0.3867820392
84	0.3861901525
85	0.3854030705
86	0.3847197198
87	0.3841079278
88	0.3833258162
89	0.382352327
90	0.3815202104
91	0.3808263133
92	0.3796090992
93	0.3787666958
94	0.3782848413
95	0.3776022103
96	0.3770099669
97	0.3761718442
98	0.3752386266
99	0.3747290084
