iter	Passed	Remaining
0	200	19858
1	205	10067
2	267	8651
3	309	7431
4	354	6733
5	393	6160
6	437	5818
7	483	5564
8	536	5423
9	586	5277
10	630	5102
11	684	5022
12	749	5016
13	751	4619
14	783	4437
15	811	4258
16	813	3969
17	816	3718
18	848	3616
19	878	3513
20	906	3411
21	936	3320
22	963	3226
23	973	3083
24	1001	3005
25	1027	2925
26	1057	2858
27	1091	2807
28	1121	2745
29	1137	2653
30	1165	2595
31	1193	2536
32	1221	2480
33	1225	2378
34	1252	2325
35	1280	2276
36	1308	2227
37	1336	2181
38	1366	2137
39	1372	2059
40	1400	2014
41	1404	1938
42	1431	1897
43	1436	1828
44	1462	1788
45	1493	1753
46	1523	1717
47	1550	1679
48	1579	1643
49	1608	1608
50	1640	1576
51	1672	1543
52	1708	1514
53	1739	1481
54	1771	1449
55	1807	1419
56	1858	1402
57	1949	1411
58	1976	1373
59	2001	1334
60	2003	1281
61	2030	1244
62	2036	1196
63	2040	1147
64	2067	1113
65	2081	1072
66	2109	1039
67	2138	1006
68	2167	973
69	2192	939
70	2219	906
71	2246	873
72	2249	831
73	2274	799
74	2305	768
75	2334	737
76	2369	707
77	2412	680
78	2447	650
79	2453	613
80	2489	584
81	2523	554
82	2556	523
83	2586	492
84	2623	463
85	2656	432
86	2687	401
87	2719	370
88	2756	340
89	2798	310
90	2830	279
91	2860	248
92	2892	217
93	2918	186
94	2946	155
95	2973	123
96	3003	92
97	3030	61
98	3058	30
99	3084	0
